"snapshot_id","contract_number","decision","tracs_overall_expiration_date","time_diff","contract_term_months_qty","tracs_status_name","previous_status"
"c2003-06","CA16C940001","other","1999-09-30 00:00:00","",60,"Expired",""
"c2005-01","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2005-05","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2005-07","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2006-02","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2006-04","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2006-05","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2006-07","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2006-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2007-01","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2007-02","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2007-07","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2007-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2007-12","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2008-03","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2009-02","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2009-11","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2011-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2012-03","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2012-12","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2013-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2014-10","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2014-11","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-03","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-04","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-05","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-10","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-11","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2015-12","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-01","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-04","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-05","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-05","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-08","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2016-09","CA16C940001","no change","1999-09-30 00:00:00","00:00:00",60,"Expired","Expired"
"c2003-06","CA16CS98001","other","1999-02-28 00:00:00","",12,"Expired",""
"c2006-05","CA16L000052","other","1999-08-31 00:00:00","",96,"Terminated",""
"c2006-07","CA16L000052","no change","1999-08-31 00:00:00","00:00:00",96,"Terminated","Terminated"
"c2003-06","CA33C930001","other","1998-02-28 00:00:00","",60,"Expired",""
"c2003-06","CA39CS94015","other","1999-09-30 00:00:00","",60,"Expired",""
"c2005-01","CA39CS94015","in","2008-09-30 00:00:00","3288 days",108,"Active","Expired"
"c2005-05","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2005-07","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2006-02","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2006-04","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2006-05","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2006-07","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2006-09","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2007-01","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2007-02","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
"c2007-07","CA39CS94015","no change","2008-09-30 00:00:00","00:00:00",108,"Active","Active"
